no,function,value,color,button
0,pgm,input1,05,51
1,pgm,input2,05,52
2,pgm,input3,05,53
3,pgm,input4,05,21
4,pgm,input5,05,1F
5,pgm,input6,05,20
6,pgm,input7,05,22
7,pgm,input8,05,23
8,pgm,input9,05,
9,pgm,input10,05,
10,pgm,mediaPlayer1,04,54
11,pgm,mediaPlayer2,04,55
12,pgm,black,04,56
13,pgm,color1,04,57
14,pgm,color2,04,58
15,pgm,colorBars,04,59
16,pvw,input1,15,47
17,pvw,input2,15,48
18,pvw,input3,15,49
19,pvw,input4,15,0D
20,pvw,input5,15,0B
21,pvw,input6,15,0C
22,pvw,input7,15,0E
23,pvw,input8,15,0F
24,pvw,input9,15,
25,pvw,input10,15,
26,pvw,mediaPlayer1,18,4A
27,pvw,mediaPlayer2,18,4B
28,pvw,black,18,4C
29,pvw,color1,18,4D
30,pvw,color2,18,4E
31,pvw,colorBars,18,4F
32,usk_onair,keyer1,05,
33,usk_onair,keyer2,05,
34,usk_onair,keyer3,05,
35,usk_onair,keyer4,05,
36,usk_next,bkgd,0C,
37,usk_next,keyer1,0C,
38,usk_next,keyer2,0C,
39,usk_next,keyer3,0C,
40,usk_next,keyer4,0C,
41,dsk_tie,dsk1,0D,
42,dsk_tie,dsk2,0D,
43,dsk_onair,dsk1,07,
44,dsk_onair,dsk2,07,
45,dsk_auto,dsk1,07,
46,dsk_auto,dsk2,07,
47,transtyle,mix,0C,25
48,transtyle,dip,0C,
49,transtyle,wipe,0C,26
50,transtyle,sting,0C,
51,transtyle,dVE,0C,27
52,cutme,cut,09,11
53,autome,auto,09,13
54,pvw_transition,mode,22,
55,fade_to_black,ftb,03,45
56,profile,1,03,5B
57,profile,2,03,5C
58,profile,3,03,5D
59,end,bye!,05,62
60,usk_next,bkgd,05,
61,usk_onair,bkgd,05,
